0.505, 0.438, 65.529, 0.846, 2.959, 0.849, 0.5102042, 0.3508325, 65.94022, 1.005585, 2.6954684, 1.0186248
0.505, 0.349, 65.529, 0.846, 2.959, 0.849, 0.51015216, 0.35081416, 65.93611, 1.0039891, 2.6981037, 1.0169286
0.507, 0.349, 65.529, 0.846, 2.959, 0.849, 0.51012063, 0.350796, 65.93204, 1.0024092, 2.7007124, 1.0152493
0.507, 0.349, 65.529, 0.846, 2.959, 0.853, 0.5100894, 0.35077807, 65.92801, 1.0008452, 2.7032952, 1.0136268
0.484, 0.415, 65.529, 0.846, 2.959, 0.853, 0.5098285, 0.3514203, 65.92402, 0.9992967, 2.7058523, 1.0120206
0.484, 0.415, 65.529, 0.844, 2.959, 0.849, 0.50957024, 0.35205612, 65.92007, 0.9977438, 2.7083836, 1.0103904
0.509, 0.458, 65.529, 0.844, 2.959, 0.849, 0.5095645, 0.35311556, 65.91615, 0.9962064, 2.7108896, 1.0087764
0.509, 0.458, 65.529, 0.842, 2.959, 0.849, 0.50955886, 0.3541644, 65.91228, 0.9946643, 2.7133706, 1.0071787
0.509, 0.458, 65.529, 0.842, 2.959, 0.851, 0.50955325, 0.35520273, 65.90845, 0.99313766, 2.7158267, 1.0056169
0.5, 0.313, 65.529, 0.842, 2.959, 0.851, 0.5094577, 0.3547807, 65.904655, 0.99162626, 2.7182584, 1.0040708
0.5, 0.313, 65.529, 0.849, 2.959, 0.849, 0.5093631, 0.35436288, 65.9009, 0.99020004, 2.7206657, 1.0025201
0.5, 0.289, 65.529, 0.849, 2.959, 0.849, 0.5092695, 0.35370925, 65.89718, 0.98878807, 2.723049, 1.0009849
0.509, 0.289, 65.529, 0.853, 2.959, 0.849, 0.5092668, 0.35306215, 65.89349, 0.9874302, 2.7254083, 0.9994651
0.509, 0.289, 65.529, 0.853, 2.959, 0.851, 0.5092641, 0.35242152, 65.88985, 0.98608595, 2.727744, 0.9979805
0.507, 0.29, 65.529, 0.853, 2.959, 0.851, 0.50924146, 0.3517973, 65.88624, 0.9847551, 2.7300565, 0.9965107
0.507, 0.29, 65.529, 0.844, 2.959, 0.851, 0.50921905, 0.35117936, 65.88267, 0.9833476, 2.7323458, 0.99505556
0.507, 0.29, 65.529, 0.844, 2.959, 0.854, 0.5091968, 0.35056758, 65.87913, 0.98195416, 2.7346122, 0.993645
0.507, 0.287, 65.529, 0.844, 2.959, 0.854, 0.5091748, 0.3499319, 65.875626, 0.98057467, 2.736856, 0.99224854
0.509, 0.287, 65.529, 0.853, 2.959, 0.854, 0.5091731, 0.34930256, 65.87216, 0.97929895, 2.7390773, 0.990866
0.509, 0.287, 65.529, 0.853, 2.959, 0.851, 0.50917137, 0.34867954, 65.86873, 0.978036, 2.7412765, 0.9894673
0.502, 0.289, 65.529, 0.853, 2.959, 0.851, 0.50909966, 0.34808275, 65.86533, 0.97678566, 2.7434537, 0.98808265
